summary,experience,skills,labels,education
Experienced software engineer with expertise in developing scalable web applications.,Frontend Developer TechNova (2 years) Full-stack Developer SoftCode Ltd. (3 years),JavaScript React Node.js AWS,"['IT group', 'IT software', 'Web development']",BSc in Computer Engineering Boğaziçi University
Data analyst with experience in machine learning and big data analytics.,Data Analyst AnalyticsCo (3 years),Python SQL Machine Learning Big Data,"['IT group', 'Data science', 'Big data']",MSc in Data Science Istanbul Technical University
Warehouse operations specialist with expertise in stock control and inventory optimization.,Warehouse Manager Retail Logistics (5 years),Stock Control Inventory Management Warehouse Operations,"['Industrial management group', 'Warehouse', 'Stock control']",BBA in Business Administration Marmara University
General practitioner with a focus on primary healthcare and patient care.,General Practitioner City Health Center (6 years),Patient Care Diagnostics Primary Healthcare,"['Medical group', 'Healthcare', 'General medicine']",MD in Medicine Hacettepe University
Pharmaceutical researcher with expertise in drug development and clinical trials.,Research Scientist PharmaTech (4 years) Clinical Researcher BioHealth Labs (2 years),Clinical Trials Drug Development Laboratory Analysis,"['Medical group', 'Pharmaceuticals', 'Drug development']",MSc in Pharmaceutical Sciences Ege University
Finance manager with expertise in corporate financial planning and auditing.,Finance Manager FinCorp (5 years) Auditor AuditTrust (3 years),Corporate Finance Financial Auditing Risk Assessment,"['Finance and banking group', 'Auditing', 'Corporate finance']",BSc in Finance Istanbul University
Tax consultant specializing in corporate tax planning and compliance.,Tax Consultant TaxWise Solutions (4 years) Junior Accountant AccountAssist (2 years),Corporate Tax Tax Compliance Financial Reporting,"['Finance and banking group', 'Tax', 'Accounting']",BSc in Accounting Ankara University
HR professional with expertise in recruitment and employee relations.,HR Specialist TalentHub (3 years) Recruitment Officer HireRight Ltd. (2 years),Recruitment Employee Relations Performance Management,"['Back-office group', 'HR', 'Recruitment']",BSc in Human Resource Management Marmara University
Office administrator with experience in managing back-office operations and data entry.,Office Manager BizOps Solutions (4 years) Data Entry Specialist DataSys (2 years),Back-Office Management Data Entry Administrative Support,"['Back-office group', 'Administration', 'Data entry']",Diploma in Business Administration Anadolu University
Sales executive specializing in B2B client acquisition and retail sales.,Sales Executive SalesForce Ltd. (3 years) Retail Sales Manager MarketLeaders (2 years),B2B Sales Client Acquisition Retail Management,"['Sales group', 'B2B sales', 'Retail']",BBA in Marketing Istanbul University
Business development specialist focusing on customer relationship management.,Business Development Specialist GrowBiz (4 years) Customer Relationship Manager ClientFirst (2 years),Customer Relationship Management Lead Generation Business Expansion,"['Sales group', 'Business development', 'CRM']",MBA in Business Development Koç University
Marketing specialist focusing on social media strategy and content creation.,Social Media Manager AdSpace (3 years) Content Creator CreativeWorks (2 years),Social Media Marketing Content Creation Brand Strategy,"['Media and marketing group', 'Social media', 'Content marketing']",BSc in Marketing Boğaziçi University
Media planner specializing in advertising campaigns and digital marketing analytics.,Media Planner MediaAnalytics (4 years) Advertising Specialist AdExperts (3 years),Campaign Planning Digital Marketing Market Analysis,"['Media and marketing group', 'Media planning', 'Advertising']",MSc in Advertising Istanbul Bilgi University
Site engineer experienced in overseeing construction projects and managing on-site operations.,Site Engineer BuildRight Construction (6 years) Construction Manager Urban Developers (3 years),Project Management Site Supervision Construction Planning,"['Field group', 'Construction', 'Site engineering']",BSc in Civil Engineering Middle East Technical University
Architect specializing in urban planning and sustainable design.,Architect GreenDesign Ltd. (5 years) Urban Planner FutureCity (3 years),Urban Planning Sustainable Design Architectural Rendering,"['Field group', 'Architecture', 'Urban planning']",MSc in Architecture Istanbul Technical University
Tour manager with extensive experience in organizing and leading group tours.,Tour Manager ExploreWorld (4 years) Travel Consultant Global Holidays (2 years),Tour Planning Customer Relations Travel Coordination,"['Hospitality group', 'Tour management', 'Travel']",BSc in Tourism and Hospitality Management Akdeniz University
Client services specialist in the airline and hospitality industry.,Client Services Specialist Skyline Airlines (3 years) Hospitality Coordinator LuxuryStays (2 years),Customer Service Ticketing Hospitality Operations,"['Hospitality group', 'Airlines', 'Client services']",Diploma in Hospitality Management Istanbul University
AI engineer with experience in natural language processing and machine learning systems.,AI Engineer DeepMindTech (4 years) Data Scientist InnovateAI (3 years),Python TensorFlow NLP Machine Learning,"['IT group', 'Artificial intelligence', 'NLP']",MSc in Artificial Intelligence Boğaziçi University
Cybersecurity analyst focusing on penetration testing and network security.,Cybersecurity Analyst SecureNet (5 years),Penetration Testing Network Security Threat Analysis,"['IT group', 'Cybersecurity', 'Network security']",BSc in Cybersecurity Yıldız Technical University
Nurse specializing in critical care and emergency response.,Critical Care Nurse City Hospital (6 years) Emergency Nurse MediCare (2 years),Critical Care Emergency Response Patient Monitoring,"['Medical group', 'Critical care', 'Emergency response']",BSc in Nursing Hacettepe University
